days,fips,tot_cases,tot_death,new_death,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
89,12,4768,60,4,891,546.36,38.68013468,61.31986532,546,38.72053872,61.27946128
67,21,1,0,0,1,-0.023,102.3,-2.3,0,100,0
144,13,40366,1814,6,979,592.684,39.46026558,60.53973442,593,39.42798774,60.57201226
78,45,60,1,0,13,14.288,9.907692308,90.09230769,14,7.692307692,92.30769231
325,51,215680,3938,26,2348,2356.438,0.359369676,99.64063032,2356,0.340715503,99.6592845
208,1,79294,1473,17,1164,1840.814,58.14553265,41.85446735,1841,58.16151203,41.83848797
270,37,206090,3440,31,1759,1571.267,10.67271177,89.32728823,1571,10.68789085,89.31210915
258,28,90523,2734,28,505,874.652,73.19841584,26.80158416,875,73.26732673,26.73267327
131,28,9674,435,5,173,195.044,12.74219653,87.25780347,195,12.71676301,87.28323699
225,12,545040,8765,212,8059,5774.128,28.35180543,71.64819457,5774,28.35339372,71.64660628
321,1,219232,3249,1,1410,1800.157,27.67070922,72.32929078,1800,27.65957447,72.34042553
280,12,711358,14767,55,2202,2211.583,0.435195277,99.56480472,2212,0.454132607,99.54586739
214,12,474621,7022,179,9591,8149.757,15.02703576,84.97296424,8150,15.02450214,84.97549786
330,13,457909,9297,76,3177,3232.507,1.747151401,98.2528486,3233,1.762669185,98.23733082
288,1,167977,2706,41,784,1178.862,50.36505102,49.63494898,1179,50.38265306,49.61734694
120,12,32318,1218,47,332,865.181,160.5966867,-60.59668675,865,160.5421687,-60.54216867
77,28,34,0,0,22,4.153,81.12272727,18.87727273,4,81.81818182,18.18181818
156,21,10705,458,8,295,288.191,2.308135593,97.69186441,288,2.372881356,97.62711864
192,13,111956,2965,35,4623,3279.925,29.0520225,70.9479775,3280,29.05040017,70.94959983
205,28,49663,1463,27,1610,1337.86,16.90310559,83.09689441,1338,16.89440994,83.10559006
199,12,323002,4805,128,11362,9983.782,12.13006513,87.86993487,9984,12.12814645,87.87185355
152,47,23159,366,0,439,272.914,37.83280182,62.16719818,273,37.81321185,62.18678815
282,13,348022,7294,35,1827,1779.445,2.60290093,97.39709907,1779,2.6272578,97.3727422
295,28,113081,3231,8,958,784.016,18.1611691,81.8388309,784,18.16283925,81.83716075
83,45,298,5,2,103,62.517,39.3038835,60.6961165,63,38.83495146,61.16504854
236,51,113630,2471,28,1558,968.618,37.82939666,62.17060334,969,37.80487805,62.19512195
172,37,51399,1212,15,1549,1316.567,15.0053583,84.9946417,1317,14.97740478,85.02259522
240,47,149179,1673,25,1826,1424.641,21.98023001,78.01976999,1425,21.96056955,78.03943045
106,51,6889,208,13,389,363.205,6.631105398,93.3688946,363,6.683804627,93.31619537
220,47,118782,1206,20,2432,1786.403,26.54592928,73.45407072,1786,26.5625,73.4375
72,51,29,0,0,14,3.147,77.52142857,22.47857143,3,78.57142857,21.42857143
184,12,166303,3617,67,10015,6258.524,37.50849725,62.49150275,6259,37.50374438,62.49625562
89,45,774,16,1,114,120.51,5.710526316,94.28947368,121,6.140350877,93.85964912
206,37,109577,1746,20,2145,2014.263,6.094965035,93.90503497,2014,6.107226107,93.89277389
180,13,77596,2778,2,2186,1879.857,14.0047118,85.9952882,1880,13.99817017,86.00182983
257,28,90018,2706,9,144,434.965,202.0590278,-102.0590278,435,202.0833333,-102.0833333
176,37,56194,1271,20,1724,1394.595,19.10701856,80.89298144,1395,19.08352668,80.91647332
229,1,108433,1898,2,853,800.892,6.108792497,93.8912075,801,6.096131301,93.9038687
291,51,166138,3433,11,900,1072.498,19.16644444,80.83355556,1072,19.11111111,80.88888889
193,51,70670,1966,4,888,906.713,2.10731982,97.89268018,907,2.13963964,97.86036036
130,12,40001,1715,46,802,416.186,48.10648379,51.89351621,416,48.12967581,51.87032419
324,1,225910,3419,72,2424,2519.319,3.93230198,96.06769802,2519,3.919141914,96.08085809
186,28,30900,1111,4,226,547.573,142.2889381,-42.28893805,548,142.4778761,-42.47787611
307,21,109670,1492,3,1028,1461.296,42.14941634,57.85058366,1461,42.12062257,57.87937743
221,1,100353,1751,20,1869,1571.568,15.91396469,84.08603531,1572,15.89085072,84.10914928
143,1,13941,543,9,294,394.087,34.04319728,65.95680272,394,34.01360544,65.98639456
199,13,137102,3132,28,4233,4017.274,5.096291047,94.90370895,4017,5.102763997,94.897236
166,51,54886,1552,6,380,591.17,55.57105263,44.42894737,591,55.52631579,44.47368421
154,51,46905,1428,21,666,930.086,39.65255255,60.34744745,930,39.63963964,60.36036036
201,45,69986,1155,20,2374,1780.406,25.00395956,74.99604044,1780,25.0210615,74.9789385
195,45,58168,972,11,1520,1973.989,29.86769737,70.13230263,1974,29.86842105,70.13157895
254,21,54772,1035,22,795,795.112,0.01408805,99.98591195,795,0,100
200,47,76336,838,23,2517,2107.594,16.26563369,83.73436631,2108,16.24950338,83.75049662
85,28,485,5,3,108,86.385,20.01388889,79.98611111,86,20.37037037,79.62962963
259,37,190645,3111,51,1210,1267.306,4.736033058,95.26396694,1267,4.710743802,95.2892562
144,28,13252,625,10,247,279.097,12.99473684,87.00526316,279,12.95546559,87.04453441
146,45,10178,440,5,82,225.527,175.0329268,-75.03292683,226,175.6097561,-75.6097561
317,51,199263,3785,27,1235,1568.69,27.0194332,72.9805668,1569,27.04453441,72.95546559
259,21,58000,1074,9,718,802.372,11.75097493,88.24902507,802,11.69916435,88.30083565
152,51,45398,1392,17,791,950.807,20.20316056,79.79683944,951,20.22756005,79.77243995
82,1,157,0,0,26,61.076,134.9076923,-34.90769231,61,134.6153846,-34.61538462
328,37,339194,5039,5,2419,2550.171,5.422529971,94.57747003,2550,5.415460934,94.58453907
293,37,247172,3939,5,1144,2152.388,88.1458042,11.8541958,2152,88.11188811,11.88811189
228,47,131747,1345,19,1289,1796.876,39.4007758,60.5992242,1797,39.41039566,60.58960434
320,28,134898,3545,2,589,1201.63,104.0118846,-4.01188455,1202,104.0747029,-4.074702886
70,47,7,0,0,6,2.813,53.11666667,46.88333333,3,50,50
228,51,106691,2382,1,938,613.825,34.56023454,65.43976546,614,34.54157783,65.45842217
244,47,154933,1754,7,1818,1332.381,26.71171617,73.28828383,1332,26.73267327,73.26732673
280,21,74194,1218,4,1036,938.004,9.459073359,90.54092664,938,9.459459459,90.54054054
93,21,770,31,11,90,114.692,27.43555556,72.56444444,115,27.77777778,72.22222222
147,47,21089,344,5,358,391.618,9.390502793,90.60949721,392,9.497206704,90.5027933
130,1,9923,394,8,284,237.912,16.22816901,83.77183099,238,16.1971831,83.8028169
140,21,8069,366,20,134,270.642,101.9716418,-1.971641791,271,102.238806,-2.23880597
222,12,527036,8186,77,6190,5745.991,7.173004847,92.82699515,5746,7.172859451,92.82714055
181,45,34644,720,4,1324,980.894,25.91435045,74.08564955,981,25.90634441,74.09365559
168,28,20641,939,24,489,588.238,20.29406953,79.70593047,588,20.24539877,79.75460123
135,51,28672,977,22,859,1108.76,29.07566938,70.92433062,1109,29.10360885,70.89639115
319,13,422905,8956,51,3035,3633.187,19.70962109,80.29037891,3633,19.70345964,80.29654036
222,47,122712,1223,8,2127,1491.829,29.86229431,70.13770569,1492,29.85425482,70.14574518
106,1,4241,75,2,288,215.843,25.05451389,74.94548611,216,25,75
126,1,8679,323,23,367,323.201,11.93433243,88.06566757,323,11.98910082,88.01089918
313,28,127205,3443,0,516,617.469,19.66453488,80.33546512,617,19.57364341,80.42635659
257,21,56945,1060,3,530,406.183,23.36169811,76.63830189,406,23.39622642,76.60377358
205,45,76606,1334,49,1564,1640.112,4.866496164,95.13350384,1640,4.859335038,95.14066496
163,21,11945,493,9,62,307.131,395.3725806,-295.3725806,307,395.1612903,-295.1612903
246,12,626426,11501,127,2310,3799.83,64.49480519,35.50519481,3800,64.5021645,35.4978355
195,13,121518,3026,25,3790,3343.892,11.77065963,88.22934037,3344,11.76781003,88.23218997
97,47,3803,65,21,170,515.095,202.9970588,-102.9970588,515,202.9411765,-102.9411765
161,45,15228,568,11,428,479.18,11.95794393,88.04205607,479,11.91588785,88.08411215
84,37,398,0,0,101,94.05,6.881188119,93.11881188,94,6.930693069,93.06930693
314,47,287770,3610,15,5919,3189.281,46.11790843,53.88209157,3189,46.12265585,53.87734415
205,1,74344,1399,36,2458,1655.739,32.63877136,67.36122864,1656,32.62815297,67.37184703
301,51,176754,3616,16,1345,1149.643,14.52468401,85.47531599,1150,14.49814126,85.50185874
265,45,138124,3212,13,416,710.979,70.90841346,29.09158654,711,70.91346154,29.08653846
280,51,153691,3303,12,509,854.225,67.82416503,32.17583497,854,67.77996071,32.22003929
77,21,26,0,0,4,5.603,40.075,59.925,6,50,50
92,45,1293,26,4,210,152.944,27.16952381,72.83047619,153,27.14285714,72.85714286
334,28,153270,3807,1,1485,1185.962,20.13723906,79.86276094,1186,20.13468013,79.86531987
76,12,142,5,1,6,64.99,983.1666667,-883.1666667,65,983.3333333,-883.3333333
206,45,78607,1385,51,2001,1610.954,19.49255372,80.50744628,1611,19.49025487,80.50974513
219,45,96797,1943,49,1325,1601.586,20.87441509,79.12558491,1602,20.90566038,79.09433962
105,45,3553,97,10,114,148.225,30.02192982,69.97807018,148,29.8245614,70.1754386
305,1,192285,2967,35,1789,1414.865,20.91307993,79.08692007,1415,20.90553382,79.09446618
133,12,41923,1779,44,941,438.663,53.38331562,46.61668438,439,53.34750266,46.65249734
329,12,938830,18157,72,8102,6783.314,16.27605529,83.72394471,6783,16.27993088,83.72006912
304,21,105242,1476,15,1937,1767.29,8.761486835,91.23851316,1767,8.776458441,91.22354156
72,13,88,1,1,33,30.176,8.557575758,91.44242424,30,9.090909091,90.90909091
228,21,38930,810,6,632,643.473,1.815348101,98.1846519,643,1.740506329,98.25949367
332,37,354514,5210,72,8008,3020.178,62.28548951,37.71451049,3020,62.28771229,37.71228771
289,21,84195,1296,20,1182,1212.496,2.580033841,97.41996616,1212,2.538071066,97.46192893
296,45,167485,3755,47,1128,1023.481,9.265868794,90.73413121,1023,9.308510638,90.69148936
251,45,125607,2907,20,655,751.245,14.69389313,85.30610687,751,14.65648855,85.34351145
273,13,333811,6994,33,1368,1283.26,6.194444444,93.80555556,1283,6.213450292,93.78654971
240,45,114598,2628,55,505,989.828,96.00554455,3.994455446,990,96.03960396,3.96039604
316,13,413415,8333,-397,2232,1408.312,36.90358423,63.09641577,1408,36.91756272,63.08243728
214,47,108184,1067,7,2225,1803.497,18.94395506,81.05604494,1803,18.96629213,81.03370787
297,1,180916,2859,16,3852,1446.035,62.46015057,37.53984943,1446,62.46105919,37.53894081
185,47,48712,633,13,1822,1509.501,17.151427,82.848573,1510,17.12403952,82.87596048
116,28,5718,221,12,284,252.082,11.23873239,88.76126761,252,11.26760563,88.73239437
126,51,20256,713,29,764,994.935,30.22709424,69.77290576,995,30.23560209,69.76439791
93,13,5443,176,22,637,928.567,45.77189953,54.22810047,929,45.83987441,54.16012559
268,47,187544,2310,35,835,1528.033,82.99796407,17.00203593,1528,82.99401198,17.00598802
142,1,13647,534,10,347,365.349,5.287896254,94.71210375,365,5.187319885,94.81268012
270,47,190891,2374,22,1437,1462.999,1.809255393,98.19074461,1463,1.809324983,98.19067502
156,45,13005,525,7,354,381.63,7.805084746,92.19491525,382,7.90960452,92.09039548
206,28,51097,1480,17,1434,1209.497,15.65571827,84.34428173,1209,15.69037657,84.30962343
133,37,15346,577,27,301,539.732,79.31295681,20.68704319,540,79.40199336,20.59800664
114,12,28843,987,60,1052,761.198,27.64277567,72.35722433,761,27.66159696,72.33840304
87,1,639,3,2,108,92.784,14.08888889,85.91111111,93,13.88888889,86.11111111
320,47,310937,3893,16,5817,4370.818,24.86130308,75.13869692,4371,24.85817432,75.14182568
246,13,285667,5795,62,2386,2571.224,7.762950545,92.23704946,2571,7.753562448,92.24643755
114,1,6071,198,11,240,122.347,49.02208333,50.97791667,122,49.16666667,50.83333333
148,37,24629,794,28,488,909.759,86.42602459,13.57397541,910,86.47540984,13.52459016
86,21,248,5,0,50,65.673,31.346,68.654,66,32,68
128,45,7142,316,11,206,167.104,18.8815534,81.1184466,167,18.93203883,81.06796117
286,12,726934,15412,48,1519,2267.755,49.29262673,50.70737327,2268,49.30875576,50.69124424
289,12,735685,15736,141,3286,3004.683,8.561077298,91.4389227,3005,8.55143031,91.44856969
192,37,81534,1479,18,2007,1891.367,5.761484803,94.2385152,1891,5.779770802,94.2202292
283,13,350033,7348,54,2011,1800.568,10.46404774,89.53595226,1801,10.44256589,89.55743411
208,21,27079,700,4,315,633.292,101.0450794,-1.045079365,633,100.952381,-0.952380952
74,28,6,0,0,5,1.223,75.54,24.46,1,80,20
170,21,13197,520,2,202,194.523,3.701485149,96.29851485,195,3.465346535,96.53465347
174,37,53616,1223,3,805,1319.46,63.90807453,36.09192547,1319,63.85093168,36.14906832
102,12,18445,446,27,997,970.145,2.693580742,97.30641926,970,2.708124373,97.29187563
236,12,594287,10325,51,3004,2750.809,8.428462051,91.57153795,2751,8.422103862,91.57789614
230,28,73207,2128,44,1071,1116.705,4.267507003,95.732493,1117,4.295051354,95.70494865
107,21,2429,129,7,138,120.118,12.95797101,87.04202899,120,13.04347826,86.95652174
132,45,7792,346,15,139,293.814,111.3769784,-11.37697842,294,111.5107914,-11.51079137
69,45,7,0,0,1,2.611,161.1,-61.1,3,200,-100
245,21,49185,948,15,789,620.105,21.40621039,78.59378961,620,21.41951838,78.58048162
190,12,220476,3953,112,9882,8641.945,12.54862376,87.45137624,8642,12.54806719,87.45193281
236,13,262099,5132,40,1812,2499.433,37.93780353,62.06219647,2499,37.91390728,62.08609272
95,51,2407,52,6,395,335.933,14.95367089,85.04632911,336,14.93670886,85.06329114
96,1,1841,31,5,208,209.604,0.771153846,99.22884615,210,0.961538462,99.03846154
194,21,19389,625,3,268,384.596,43.50597015,56.49402985,385,43.65671642,56.34328358
95,1,1633,26,5,98,236.604,141.4326531,-41.43265306,237,141.8367347,-41.83673469
293,51,167754,3485,28,926,940.477,1.563390929,98.43660907,940,1.51187905,98.48812095
205,37,107432,1726,28,1945,2054.132,5.610899743,94.38910026,2054,5.604113111,94.39588689
85,21,198,5,1,35,48.761,39.31714286,60.68285714,49,40,60
265,1,145780,2439,2,818,916.861,12.08569682,87.91430318,917,12.10268949,87.89731051
263,45,137240,3188,11,922,675.437,26.74219089,73.25780911,675,26.78958785,73.21041215
171,1,29017,823,13,803,654.061,18.54782067,81.45217933,654,18.55541719,81.44458281
98,21,1149,65,6,141,122.567,13.07304965,86.92695035,123,12.76595745,87.23404255
218,47,114098,1144,27,1657,1739.724,4.992395896,95.0076041,1740,5.009052505,94.9909475
240,12,605342,10868,135,3229,3303.025,2.29250542,97.70749458,3303,2.291731186,97.70826881
179,12,130092,3390,24,9518,7411.955,22.12696995,77.87303005,7412,22.12649716,77.87350284
274,21,68840,1174,4,984,568.1,42.26626016,57.73373984,568,42.27642276,57.72357724
314,37,294860,4615,8,1521,2354.005,54.76692965,45.23307035,2354,54.76660092,45.23339908
198,12,311640,4677,156,13764,9630.651,30.03014385,69.96985615,9631,30.02760825,69.97239175
311,47,273144,3541,32,1373,2885.881,110.1879825,-10.18798252,2886,110.1966497,-10.19664967
298,37,258292,4144,30,2584,2430.383,5.944930341,94.05506966,2430,5.959752322,94.04024768
255,1,136703,2333,32,1138,956.577,15.94226714,84.05773286,957,15.90509666,84.09490334
220,21,33796,764,4,542,566.835,4.582103321,95.41789668,567,4.612546125,95.38745387
127,13,28998,1327,69,802,655.734,18.23765586,81.76234414,656,18.20448878,81.79551122
121,13,25241,1111,57,537,805.7,50.03724395,49.96275605,806,50.09310987,49.90689013
276,47,198403,2515,14,971,1321.779,36.12554068,63.87445932,1322,36.14830072,63.85169928
99,13,10080,371,20,1130,819.335,27.49247788,72.50752212,819,27.52212389,72.47787611
318,1,213617,3231,18,2980,2162.038,27.44838926,72.55161074,2162,27.44966443,72.55033557
328,47,344550,4301,35,4074,4592.707,12.73213058,87.26786942,4593,12.73932253,87.26067747
239,47,147353,1648,20,1936,1044.907,46.02753099,53.97246901,1045,46.02272727,53.97727273
82,37,255,0,0,71,86.564,21.92112676,78.07887324,87,22.53521127,77.46478873
240,28,81294,2413,14,599,734.463,22.6148581,77.3851419,734,22.5375626,77.4624374
248,21,51677,987,11,792,817.414,3.208838384,96.79116162,817,3.156565657,96.84343434
163,51,53211,1534,14,564,566.834,0.50248227,99.49751773,567,0.531914894,99.46808511
243,12,614753,11119,14,2547,2096.966,17.66917943,82.33082057,2097,17.66784452,82.33215548
197,1,59113,1211,45,1805,1760.007,2.492686981,97.50731302,1760,2.493074792,97.50692521
151,47,22720,366,5,484,516.388,6.691735537,93.30826446,516,6.611570248,93.38842975
289,45,161106,3607,14,1297,920.306,29.04348497,70.95651503,920,29.06707787,70.93292213
304,28,120160,3334,6,824,562.169,31.7756068,68.2243932,562,31.7961165,68.2038835
83,1,196,0,0,39,59.47,52.48717949,47.51282051,59,51.28205128,48.71794872
100,1,2838,48,0,339,131.441,61.22684366,38.77315634,131,61.35693215,38.64306785
129,28,9378,422,13,288,290.094,0.727083333,99.27291667,290,0.694444444,99.30555556
173,13,64673,2643,1,885,1419.649,60.41231638,39.58768362,1420,60.4519774,39.5480226
191,28,34622,1215,11,1031,962.879,6.607274491,93.39272551,963,6.595538312,93.40446169
128,37,13397,507,30,639,585.229,8.41486698,91.58513302,585,8.450704225,91.54929577
135,21,7225,328,2,145,222.47,53.42758621,46.57241379,222,53.10344828,46.89655172
236,21,43529,881,9,463,734.536,58.64708423,41.35291577,735,58.74730022,41.25269978
254,37,184179,2990,32,1307,1329.874,1.750114767,98.24988523,1330,1.759755164,98.24024484
295,51,170104,3524,9,1332,1143.825,14.12725225,85.87274775,1144,14.11411411,85.88588589
138,45,8816,385,5,155,186.116,20.07483871,79.92516129,186,20,80
220,51,99189,2322,5,1307,1382.936,5.809946442,94.19005356,1383,5.814843152,94.18515685
284,47,212649,2758,26,1646,1770.876,7.586634265,92.41336574,1771,7.594167679,92.40583232
317,12,851825,17372,72,5504,4731.564,14.0340843,85.9659157,4732,14.02616279,85.97383721
131,47,15060,243,1,217,348.106,60.41751152,39.58248848,348,60.36866359,39.63133641
187,47,51431,646,9,1291,1345.179,4.196669249,95.80333075,1345,4.182804028,95.81719597
161,12,64448,2765,53,1070,1369.199,27.96252336,72.03747664,1369,27.94392523,72.05607477
157,21,10977,466,8,272,287.888,5.841176471,94.15882353,288,5.882352941,94.11764706
94,13,5931,198,22,488,896.105,83.62807377,16.37192623,896,83.60655738,16.39344262
309,28,123887,3405,8,1612,846.19,47.50682382,52.49317618,846,47.51861042,52.48138958
235,1,114532,2011,15,900,1296.009,44.001,55.999,1296,44,56
244,45,118992,2720,11,668,1046.865,56.71631737,43.28368263,1047,56.73652695,43.26347305
173,21,13750,526,2,120,190.893,59.0775,40.9225,191,59.16666667,40.83333333
149,21,9184,409,9,107,207.323,93.75981308,6.240186916,207,93.45794393,6.542056075
308,47,266357,3454,75,1770,2599.175,46.8460452,53.1539548,2599,46.83615819,53.16384181
291,37,243725,3929,19,2102,2163.496,2.925594672,97.07440533,2163,2.901998097,97.0980019
67,45,2,0,0,2,0.098,95.1,4.9,0,100,0
306,13,390428,7981,2,1435,1537.872,7.168780488,92.83121951,1538,7.177700348,92.82229965
111,45,4439,124,4,62,169.186,172.8806452,-72.88064516,169,172.5806452,-72.58064516
288,45,159809,3593,17,926,877.83,5.201943844,94.79805616,878,5.183585313,94.81641469
306,47,261426,3353,0,754,1840.905,144.1518568,-44.15185676,1841,144.1644562,-44.16445623
201,13,145038,3173,5,3193,2992.014,6.294581898,93.7054181,2992,6.295020357,93.70497964
282,21,77455,1234,11,868,1528.641,76.11071429,23.88928571,1529,76.15207373,23.84792627
270,21,66036,1154,5,970,535.292,44.81525773,55.18474227,535,44.84536082,55.15463918
268,13,327158,6822,49,1608,1874.68,16.58457711,83.41542289,1875,16.60447761,83.39552239
104,21,2048,104,7,85,123.568,45.37411765,54.62588235,124,45.88235294,54.11764706
251,37,181070,2897,7,1039,1220.328,17.45216554,82.54783446,1220,17.42059673,82.57940327
176,13,69639,2698,11,1835,1724.49,6.022343324,93.97765668,1724,6.049046322,93.95095368
326,28,143180,3676,19,779,1581.893,103.0671374,-3.067137356,1582,103.0808729,-3.080872914
302,51,178183,3636,20,1429,1214.56,15.00629811,84.99370189,1215,14.97550735,85.02449265
112,1,5668,180,33,244,266.826,9.354918033,90.64508197,267,9.426229508,90.57377049
300,21,97866,1410,3,924,1420.472,53.73073593,46.26926407,1420,53.67965368,46.32034632
190,21,17919,608,6,400,455.989,13.99725,86.00275,456,14,86
314,51,194913,3726,13,1435,1374.024,4.249198606,95.75080139,1374,4.25087108,95.74912892
168,47,31830,493,10,670,755.912,12.82268657,87.17731343,756,12.8358209,87.1641791
297,28,115088,3255,17,1212,853.454,29.5830033,70.4169967,853,29.62046205,70.37953795
