days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
303,45,174591,3889,13,-9,-7,-1,-7,-27,7,1100,1051.536
90,28,937,20,4,-26,-6,4,-23,-34,13,90,130.818
242,51,119747,2569,1,-19,-4,46,-22,-14,5,938,774.219
317,28,131970,3519,5,-12,-8,9,3,-18,5,1305,1321.063
154,28,16322,782,14,5,8,43,3,-25,7,301,360.393
103,28,2942,98,5,-63,-44,-50,-49,-43,14,300,326.981
278,37,217496,3634,5,-11,-2,35,-21,-15,1,610,2022.09
334,51,237836,4062,4,-20,-12,19,-18,-15,5,1893,2602.586
152,21,9704,431,0,-9,10,153,-4,-13,2,0,60.216
188,13,97534,2878,18,-12,-4,20,-32,-41,11,1642,3088.056
234,51,112072,2443,7,-15,-5,74,-31,-39,11,1212,968.268
110,1,4946,165,52,-45,-24,-44,-45,-37,12,223,642.846
174,28,22287,978,40,-4,0,17,2,-28,7,1646,817.122
325,1,228373,3451,32,-12,-4,7,-7,-21,6,2463,2727.285
268,1,148206,2480,-8,-17,-10,-14,-12,-25,8,1053,940.13
218,51,95867,2299,25,-9,0,79,-31,-41,11,818,1179.481
293,13,364909,7657,19,-14,-6,35,-30,-28,7,1134,1530.042
109,21,2707,144,7,-34,-3,67,-29,-29,9,185,197.111
278,12,707751,14671,43,-23,-15,-44,-42,-22,5,1813,2066.656
210,1,82530,1493,1,-9,-1,24,-4,-30,9,1260,1578.05
118,21,4146,213,5,-20,-1,55,-27,-42,15,72,151.703
311,51,190874,3704,22,-17,-8,41,-32,-32,11,2103,1471.825
90,45,925,18,2,-30,-8,-1,-30,-36,13,151,126.895
83,47,615,2,0,-32,-2,-16,-27,-34,15,110,93.366
189,47,53514,665,12,-1,5,103,-9,-33,8,1359,1546.057
266,21,62731,1119,7,-11,0,79,-4,-28,6,814,782.68
320,21,137586,1661,3,-17,-3,16,-6,-13,4,1449,2286.893
274,45,147942,3378,19,-5,-3,23,-6,-25,5,308,842.768
223,51,101746,2344,17,-12,-4,69,-34,-39,11,996,911.599
246,37,173509,2779,38,-12,-4,45,-25,-33,8,1216,1771.585
265,12,677362,13317,21,-24,-17,-32,-40,-33,9,1671,1753.833
287,12,729591,15531,119,-22,-13,-21,-37,-30,8,2657,3317.556
142,51,34950,1136,37,-27,-6,14,-41,-45,18,813,968.59
90,13,3224,103,19,-34,-10,2,-47,-44,16,389,451.659
145,51,37727,1208,37,-29,-7,62,-40,-27,7,1483,1116.482
277,12,705938,14628,74,-22,-14,-33,-42,-19,4,2726,2885.292
86,45,456,9,2,-31,-6,-5,-24,-35,15,32,85.112
101,37,3908,74,9,-36,-6,12,-52,-57,21,257,341.564
253,12,644781,12115,200,-24,-17,-29,-42,-33,9,2006,3407.82
175,37,54470,1251,28,-9,3,77,-21,-34,10,854,1445.01
78,47,98,0,0,-15,14,21,-13,-22,9,25,26.83
205,12,385091,5518,173,-25,-16,-31,-43,-37,13,10171,9728.832
109,47,6763,145,4,-33,-4,2,-28,-27,9,433,210.049
252,12,642775,11915,44,-25,-15,-30,-38,-35,9,1797,2124.807
88,13,2592,79,14,-39,-10,14,-43,-28,12,225,313.395
190,45,48909,884,38,-5,2,36,-1,-32,9,1557,1509.012
228,45,105882,2260,56,-12,0,50,3,-13,3,1041,1281.958
330,21,166139,1835,26,-5,27,1,-6,-38,9,3301,2620.086
75,37,32,0,0,-8,13,-3,-14,-9,3,9,5.52
330,12,946956,18254,97,-4,15,-20,-24,-37,7,8126,6800.269
222,1,101334,1768,17,-11,1,49,5,-17,3,981,1270.032
180,1,36350,924,1,-10,1,58,11,-13,3,1245,732.666
101,47,4863,98,4,-36,-5,-5,-39,-53,20,228,244.044
153,12,55415,2460,9,-21,-9,-24,-42,-33,11,651,709.667
274,28,98886,2979,10,-4,-3,20,9,-19,3,696,752.713
214,51,91782,2218,3,-16,3,93,-16,-13,4,981,1063.374
74,1,1,0,0,1,28,55,12,4,0,0,2.241
102,51,5077,130,9,-40,-9,17,-49,-36,13,568,336.28
149,1,16729,594,10,-6,7,31,-4,-28,10,467,372.855
154,21,10185,442,3,-5,12,95,-10,-32,9,139,256.605
257,47,171824,2078,14,-12,-3,49,-12,-18,2,933,1585.229
125,51,19492,684,0,-26,-7,39,-45,-45,17,0,78.652
242,12,612206,11105,148,-26,-16,-22,-45,-20,5,3132,3440.804
248,47,160597,1837,22,-7,0,83,-6,-30,5,1051,1401.303
302,21,101494,1442,14,-13,-1,31,-7,-25,7,1857,1592.565
246,21,49991,966,18,-10,1,64,-8,-30,7,806,774.115
103,13,12203,447,15,-63,-42,-57,-65,-49,14,157,750.857
267,28,95310,2874,4,-11,-9,0,1,-20,6,737,542.602
320,13,424989,8957,1,-14,-7,13,-29,-16,3,2084,1899.646
321,51,206763,3835,30,-17,-6,13,-36,-32,11,2125,2114.438
122,13,26176,1167,56,-21,-2,45,-41,-43,15,935,732.364
160,51,51738,1496,19,-16,-3,70,-35,-38,13,487,632.261
288,37,236407,3856,40,-11,-3,49,-23,-29,7,1926,2039.413
92,13,4806,154,24,-30,1,-5,-44,-47,18,570,513.979
262,45,136318,3177,19,-9,-4,23,-7,-26,5,872,859.744
226,37,142636,2287,38,-12,-2,41,-24,-35,9,1978,1294.45
178,21,14859,553,7,-9,6,141,-3,-32,8,242,297.998
206,21,25931,691,7,-11,3,135,-6,-32,8,784,633.149
95,13,6353,208,10,-50,-18,-18,-53,-36,16,422,402.906
164,28,19348,889,21,-4,2,50,2,-26,6,865,549.587
188,51,66740,1881,28,-11,-1,75,-29,-42,12,638,723.127
238,21,44568,895,10,-12,1,80,-9,-32,7,669,719.485
228,37,145508,2343,30,-16,-3,41,-20,-15,4,1662,1444.299
113,28,5153,201,18,-18,-2,-5,-21,-38,14,437,241.465
260,13,313535,6419,21,-16,-12,-8,-36,-33,10,2669,1549.274
248,13,290938,5931,63,-11,-4,56,-23,-35,7,2298,2401.648
122,12,34728,1314,46,-36,-13,-27,-51,-43,18,1038,855.509
300,13,377553,7827,18,-15,-6,25,-30,-28,7,1346,1744.012
139,45,8942,391,6,-10,-1,15,-14,-30,11,126,201.139
64,12,2,0,0,6,6,14,1,1,0,0,1.312
284,21,79445,1249,7,-12,2,111,6,-9,2,989,1116.981
195,37,87756,1510,7,-9,2,77,-23,-35,9,1846,1780.254
300,51,175409,3600,19,-16,-6,24,-34,-32,11,1134,1210.555
134,13,33331,1505,41,-16,-2,32,-39,-40,14,558,609.691
324,37,325158,4936,38,-15,-2,2,-31,-28,9,4296,3430.966
191,12,229367,4009,56,-22,-10,-12,-39,-36,12,8891,9492.638
192,21,18670,620,8,-10,5,127,-4,-33,8,425,456.531
297,47,241513,3076,65,-10,-5,64,-9,-24,5,3606,2419.166
213,13,190734,3752,81,-11,-3,63,-30,-37,9,4308,4241.694
221,45,99460,2007,45,-10,3,80,7,-11,2,1241,1385.318
190,1,46991,1057,25,-3,3,40,1,-31,8,1170,1509.631
121,1,7306,280,20,-18,3,15,-18,-37,14,201,283.108
103,12,19337,461,15,-66,-49,-63,-69,-50,15,892,740.144
293,1,173485,2789,1,-12,-4,18,-8,-22,5,859,1080.958
155,45,12651,518,17,2,8,49,3,-28,8,236,519.816
87,37,764,3,1,-35,-6,38,-45,-39,16,128,118.223
249,37,178932,2889,50,-12,2,121,-14,-16,1,1586,1649.481
250,37,180031,2890,1,-9,1,105,-23,-19,1,1099,1295.303
235,51,112072,2443,0,-18,-1,88,-18,-13,3,0,639.554
223,21,35254,775,2,-9,0,65,-9,-32,9,272,438.855
218,45,95472,1894,47,-7,-2,34,-4,-32,8,1282,1394.666
211,47,100822,1020,21,-4,2,87,-13,-32,8,1778,2497.357
76,28,12,0,0,4,25,24,4,-14,4,2,3.39
129,47,14512,241,4,-21,-1,-21,-26,-37,15,346,370.427
143,13,39387,1808,50,-16,-1,51,-33,-38,13,1031,612.131
191,13,107333,2930,8,-10,-1,21,-32,-38,12,2838,2961.342
117,12,30680,1074,19,-47,-23,-52,-63,-40,12,684,671.857
264,1,144962,2437,0,-11,-2,46,-2,-16,2,798,875.961
71,51,15,0,0,7,9,40,0,-1,0,7,3.971
252,13,297429,6070,26,-14,-4,28,-29,-35,9,1744,1647.49
321,28,135803,3581,36,-11,-7,-1,3,-18,4,905,1504.419
261,12,666507,13086,147,-24,-16,-24,-39,-33,9,3273,2617.259
173,51,58465,1620,9,-16,1,104,-22,-14,3,471,661.902
212,47,102871,1033,13,-6,0,62,-12,-33,8,2049,2405.754
289,37,238939,3874,18,-11,-1,52,-20,-29,7,2532,2075.276
226,13,234964,4538,82,-12,-4,17,-30,-37,10,2816,3583.444
86,12,2352,29,6,-40,-14,-34,-51,-42,18,491,448.264
163,13,54011,2375,46,-9,2,44,-35,-35,11,1101,583.783
181,47,42297,592,8,-3,-1,65,-11,-31,9,2125,1224.931
295,21,90996,1363,21,-11,0,75,-3,-25,6,1452,1320.572
128,47,14166,237,-2,-12,6,35,-20,-35,11,228,244.381
270,13,330612,6914,40,-13,-6,58,-25,-11,2,1442,1820.054
234,47,140844,1549,61,-12,-6,47,-14,-30,8,1669,1335.14
87,13,2367,65,5,-35,-9,33,-45,-42,18,524,260.506
257,12,656485,12608,8,-27,-18,-42,-46,-23,6,2395,1923.666
279,1,159713,2559,1,-7,-2,21,-6,-24,4,544,889.385
197,37,91563,1568,16,-9,1,64,-25,-35,9,1816,1878.821
240,13,272456,5393,82,-15,-7,20,-33,-33,10,2819,2645.197
83,37,297,0,0,-32,-5,-17,-41,-33,14,42,77.282
316,28,130665,3514,17,-7,-5,6,5,-24,6,1271,1279.651
221,21,34758,772,8,-9,10,236,12,-8,0,962,840.103
249,51,126926,2678,1,-14,3,144,-16,-16,1,1199,810.391
162,21,11883,484,7,-4,11,81,-9,-32,9,175,253.854
253,13,299621,6128,58,-14,-7,37,-31,-34,8,2192,2148.969
149,37,25413,827,33,-15,0,21,-30,-34,13,784,896.73
311,28,125885,3433,14,-13,-12,0,1,-18,4,1031,1077.044
166,21,12445,499,0,-8,7,141,-1,-13,1,0,41.325
157,51,49397,1460,7,-22,-3,50,-35,-40,15,865,795.941
107,47,6262,141,7,-25,-3,1,-31,-42,15,426,194.906
216,51,94251,2244,26,-12,0,27,-36,-40,13,1145,1145.078
301,12,776215,16505,56,-21,-12,-23,-36,-29,8,4226,4000.865
286,28,105941,3115,14,-10,-8,18,4,-27,6,1009,883.527
309,47,269802,3478,24,-12,-4,35,-18,-23,7,3445,2492.357
148,28,14372,692,21,1,5,22,-2,-28,9,328,414.596
285,45,157406,3552,1,-11,-5,3,6,-16,4,785,861.148
206,1,76136,1439,40,-11,-3,37,0,-30,10,1792,1753.623
284,45,156621,3551,21,-12,-3,31,-5,-10,3,945,903.579
319,28,134309,3543,3,-10,-6,23,6,-11,2,969,1529.175
202,12,355899,5072,90,-23,-14,-20,-42,-37,11,10287,9748.722
320,37,312235,4806,50,-14,-4,13,-28,-14,3,3117,3691.647
324,28,140429,3642,23,-11,-5,2,4,-19,5,1638,1619.09
184,28,28770,1092,0,10,13,41,10,-31,7,0,312.564
250,45,124952,2887,10,0,5,96,3,-20,1,663,937.719
248,28,85939,2558,22,-8,-3,30,13,-26,4,823,750.434
68,45,6,0,0,12,7,38,24,2,-1,4,5.539
164,45,17170,593,5,-6,5,44,4,-29,8,729,514.437
146,13,41622,1830,3,-23,-4,67,-51,-70,20,532,735.178
155,21,10410,450,8,-3,16,98,-10,-32,9,225,272.982
97,37,2870,33,2,-36,-10,22,-46,-44,16,285,225.327
199,47,73819,815,19,-9,1,89,-9,-32,8,2279,2205.644
78,37,62,0,0,-22,9,28,-23,-25,10,22,15.065
84,1,242,0,0,-32,-5,4,-18,-34,15,46,81.281
121,28,7212,282,32,-10,6,15,-14,-35,12,643,291.649
152,37,28590,886,9,-15,1,75,-25,-15,4,916,732.34
237,37,158678,2535,4,-15,-3,48,-26,-33,8,1389,1427.299
212,13,186426,3671,29,-11,-3,18,-33,-38,11,4183,3934.788
105,12,20984,571,72,-46,-23,-52,-56,-48,20,590,993.706
161,51,52177,1514,18,-15,1,85,-33,-39,13,439,650.125
318,12,858585,17445,73,-21,-12,-24,-37,-27,8,6760,5447.24
247,51,124779,2662,10,-11,0,59,-29,-39,10,1111,1035.196
230,1,109004,1925,27,-9,-2,30,-3,-29,6,571,1101.956
98,37,3221,46,13,-36,-9,24,-44,-45,18,351,258.855
123,28,7441,291,10,-16,8,28,-15,-22,6,229,199.575
120,28,6569,250,0,-11,2,-7,-18,-37,14,0,14.276
121,47,10735,199,7,-18,2,0,-25,-39,14,603,282.922
135,13,33657,1527,22,-17,-2,21,-40,-40,15,326,707.033
330,51,228901,4029,21,2,28,25,-26,-43,11,2600,2565.617
91,1,999,13,7,-36,-11,-23,-26,-40,17,52,135.258
302,1,187706,2911,19,-13,-3,-15,-14,-24,7,1269,1384.704
273,1,153554,2517,16,-11,-7,9,-10,-22,6,571,1321.634
282,47,209447,2705,63,-8,-2,69,-9,-27,5,1992,1818.54
88,21,394,9,1,-38,-6,100,-28,-29,9,92,95.462
202,45,71445,1164,9,-7,1,47,-6,-31,8,1459,1713.722
104,28,3087,111,13,-27,-9,-14,-28,-40,14,145,194.565
287,28,106817,3140,25,-8,-3,27,6,-20,4,876,905.942
193,21,19121,622,2,-12,9,211,11,-9,1,451,512.4
289,13,358533,7492,22,-11,-4,22,-29,-30,8,1864,1628.298
233,13,254163,4904,55,-16,-8,-2,-33,-35,11,2939,2867.813
120,1,7105,260,17,-22,-4,-11,-24,-39,16,158,286.543
172,45,23786,644,5,-4,15,104,17,-8,1,1155,1104.347
238,12,599176,10580,183,-25,-15,-26,-42,-35,10,2665,4582.108
96,12,11961,221,26,-57,-33,-70,-70,-45,15,788,1106.475
282,45,154755,3514,12,-7,-3,36,0,-24,6,1050,878.673
104,13,13289,481,34,-38,-16,-6,-52,-48,18,1086,905.421
267,1,147153,2488,31,-8,-5,14,-7,-24,6,569,972.608
248,1,130393,2266,33,-5,1,40,7,-29,5,1108,1214.585
239,37,161466,2606,36,-13,-3,50,-27,-32,8,1342,1686.575
327,45,206295,4283,9,-8,0,6,4,-11,3,1277,1705.17
315,21,124646,1590,14,-13,-1,37,-7,-26,7,2079,2007.315
248,51,125727,2677,15,-12,1,85,-26,-40,10,948,952.068
90,1,947,6,2,-33,-10,10,-25,-38,14,117,129.437
126,28,8422,374,32,-5,11,15,-10,-33,11,215,344.51
231,21,40299,830,12,-11,1,65,-11,-30,7,608,658.909
273,28,98190,2969,48,-8,-4,24,3,-18,4,1141,1075.344
185,12,175718,3684,67,-19,0,-6,-42,-53,16,9415,5052.151
184,51,63735,1816,30,-2,12,112,-23,-41,10,532,783.569
171,21,13454,522,2,-8,9,147,-5,-33,6,257,221.254
218,1,94819,1698,30,-2,4,51,0,-30,7,972,1403.234
169,47,32143,497,4,1,8,98,-12,-29,7,313,677.859
131,45,7653,331,1,-17,11,26,-14,-26,4,122,114.652
314,13,406904,8223,29,-15,-7,12,-32,-27,8,1648,2660.755
234,37,154018,2494,29,-15,-4,46,-26,-33,9,2075,1777.953
265,28,94021,2846,36,-7,-7,20,2,-21,4,465,789.872
333,37,357958,5219,9,-20,-12,41,-24,-17,4,3444,2904.941
218,12,497181,7627,225,-23,-16,-21,-42,-37,11,5408,5697.668
237,13,264540,5156,24,-18,-9,7,-35,-34,10,2441,2024.696
88,45,660,15,2,-35,-4,12,-32,-25,9,121,103.417
148,45,10623,466,20,-11,-3,-4,-6,-31,12,207,383.142
182,45,36399,739,19,0,6,48,1,-30,9,1755,1126.003
327,1,232506,3457,0,-12,0,15,-1,-12,3,1798,2147.581
289,28,109255,3160,8,-9,-5,16,8,-18,4,1116,921.25
139,21,7935,346,12,-22,-3,3,-25,-36,14,247,217.971
242,21,47577,921,3,-12,3,135,-2,-9,2,820,530.268
163,37,39483,1064,11,-11,2,46,-27,-33,11,1310,998.965
282,51,156649,3344,16,-15,-3,62,-30,-35,10,1114,1272.449
100,12,16323,371,48,-46,-21,-46,-58,-50,21,1089,1102.528
237,51,114636,2495,24,-15,-6,56,-35,-38,11,1006,984.5
170,45,21548,621,4,-2,5,63,4,-28,8,992,622.938
332,1,242874,3572,0,-21,-16,12,-30,-59,17,917,2128.562
100,13,10693,413,42,-37,-10,-10,-51,-51,21,613,961.405
103,1,3583,61,1,-64,-47,-50,-51,-45,13,321,400.89
140,28,11967,570,15,0,7,34,-5,-28,9,263,370.182
197,13,129193,3091,37,-8,-1,38,-31,-38,11,4102,3737.669
