days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases
89,12,4768,891,-48,60,84.034
67,21,1,1,85,0,0.0
144,13,40366,979,62,1814,1693.34
78,45,60,13,10,1,0.747
325,51,215680,2348,27,3938,3931.419
208,1,79294,1164,51,1473,1527.484
270,37,206090,1759,73,3440,3377.202
258,28,90523,505,26,2734,2721.854
131,28,9674,173,39,435,421.747
225,12,545040,8059,-19,8765,8599.739
321,1,219232,1410,2,3249,3264.452
280,12,711358,2202,-30,14767,14758.147
214,12,474621,9591,-30,7022,6835.855
330,13,457909,3177,4,9297,9261.795
288,1,167977,784,22,2706,2690.694
120,12,32318,332,-36,1218,1197.745
77,28,34,22,34,0,0.213
156,21,10705,295,48,458,466.067
192,13,111956,4623,68,2965,2868.571
205,28,49663,1610,27,1463,1441.418
199,12,323002,11362,-20,4805,4862.238
152,47,23159,439,105,366,367.816
282,13,348022,1827,22,7294,7258.923
295,28,113081,958,21,3231,3212.779
83,45,298,103,-21,5,4.825
236,51,113630,1558,96,2471,2320.194
172,37,51399,1549,95,1212,1210.099
240,47,149179,1826,56,1673,1764.614
106,51,6889,389,1,208,199.422
220,47,118782,2432,98,1206,1229.541
72,51,29,14,44,0,0.258
184,12,166303,10015,-10,3617,3471.372
122,51,16901,0,13,581,546.405
89,45,774,114,-4,16,9.087
206,37,109577,2145,69,1746,1757.348
180,13,77596,2186,55,2778,2597.945
257,28,90018,144,24,2706,2693.318
176,37,56194,1724,70,1271,1267.675
229,1,108433,853,51,1898,2033.377
291,51,166138,900,99,3433,3443.893
193,51,70670,888,118,1966,1957.304
130,12,40001,802,-26,1715,1676.492
324,1,225910,2424,-3,3419,3365.913
186,28,30900,226,53,1111,1026.53
307,21,109670,1028,2,1492,1978.736
221,1,100353,1869,68,1751,1793.602
143,1,13941,294,40,543,563.875
199,13,137102,4233,69,3132,2901.635
166,51,54886,380,109,1552,1528.383
154,51,46905,666,76,1428,1356.729
201,45,69986,2374,57,1155,1217.134
195,45,58168,1520,55,972,1019.647
254,21,54772,795,94,1035,1024.86
200,47,76336,2517,131,838,858.118
85,28,485,108,26,5,6.501
259,37,190645,1210,79,3111,3017.91
144,28,13252,247,45,625,601.588
146,45,10178,82,68,440,444.502
317,51,199263,1235,-17,3785,3769.075
259,21,58000,718,101,1074,1076.563
152,51,45398,791,96,1392,1366.408
61,13,2,0,49,0,0.0
82,1,157,26,2,0,1.997
328,37,339194,2419,21,5039,5037.575
293,37,247172,1144,58,3939,3887.703
228,47,131747,1289,97,1345,1394.073
320,28,134898,589,4,3545,3470.81
70,47,7,6,26,0,0.002
228,51,106691,938,31,2382,2305.214
244,47,154933,1818,34,1754,1875.784
280,21,74194,1036,69,1218,1272.343
93,21,770,90,42,31,19.749
147,47,21089,358,54,344,370.591
130,1,9923,284,39,394,420.327
140,21,8069,134,30,366,367.061
222,12,527036,6190,-18,8186,8315.157
181,45,34644,1324,61,720,821.753
168,28,20641,489,57,939,876.75
135,51,28672,859,40,977,924.263
319,13,422905,3035,41,8956,8908.333
69,21,1,0,39,0,0.0
222,47,122712,2127,94,1223,1254.755
106,1,4241,288,10,75,95.405
126,1,8679,367,16,323,336.188
313,28,127205,516,10,3443,3415.936
257,21,56945,530,85,1060,1068.314
205,45,76606,1564,43,1334,1383.213
163,21,11945,62,113,493,492.04
246,12,626426,2310,-21,11501,11449.606
195,13,121518,3790,48,3026,2999.174
97,47,3803,170,3,65,59.221
161,45,15228,428,59,568,587.383
84,37,398,101,-8,0,6.012
314,47,287770,5919,33,3610,3674.75
205,1,74344,2458,31,1399,1559.653
301,51,176754,1345,50,3616,3595.416
265,45,138124,416,44,3212,3143.391
280,51,153691,509,67,3303,3298.203
77,21,26,4,33,0,0.131
92,45,1293,210,-26,26,22.629
334,28,153270,1485,-34,3807,3754.914
76,12,142,6,0,5,2.685
206,45,78607,2001,37,1385,1495.674
219,45,96797,1325,34,1943,1960.374
169,28,20641,0,55,938,928.039
105,45,3553,114,-11,97,109.884
305,1,192285,1789,47,2967,2978.638
133,12,41923,941,-24,1779,1811.577
329,12,938830,8102,-21,18157,18063.574
304,21,105242,1937,45,1476,1493.25
108,28,3793,0,-6,140,133.011
72,13,88,33,23,1,1.209
228,21,38930,632,183,810,808.597
332,37,354514,8008,51,5210,5130.455
289,21,84195,1182,41,1296,1398.737
296,45,167485,1128,29,3755,3712.055
251,45,125607,655,90,2907,2760.551
273,13,333811,1368,-21,6994,6975.843
240,45,114598,505,31,2628,2572.39
316,13,413415,2232,-15,8333,8775.115
214,47,108184,2225,108,1067,1077.636
297,1,180916,3852,20,2859,2843.788
185,47,48712,1822,157,633,682.66
116,28,5718,284,3,221,207.911
126,51,20256,764,5,713,704.195
93,13,5443,637,-15,176,92.904
268,47,187544,835,14,2310,2515.364
142,1,13647,347,40,534,561.24
270,47,190891,1437,111,2374,2407.377
156,45,13005,354,38,525,560.168
206,28,51097,1434,18,1480,1515.721
133,37,15346,301,42,577,569.074
114,12,28843,1052,-47,987,928.459
87,1,639,108,30,3,7.037
320,47,310937,5817,16,3893,3909.011
246,13,285667,2386,35,5795,5733.855
114,1,6071,240,-31,198,202.486
148,37,24629,488,-2,794,849.592
86,21,248,50,84,5,3.866
128,45,7142,206,10,316,308.145
286,12,726934,1519,-24,15412,15327.934
289,12,735685,3286,-21,15736,15695.006
192,37,81534,2007,85,1479,1515.679
283,13,350033,2011,27,7348,7378.436
208,21,27079,315,136,700,715.433
74,28,6,5,41,0,0.008
170,21,13197,202,93,520,529.694
174,37,53616,805,79,1223,1245.252
102,12,18445,997,-54,446,554.23
236,12,594287,3004,-28,10325,10308.259
230,28,73207,1071,17,2128,2097.464
107,21,2429,138,29,129,125.735
132,45,7792,139,24,346,330.505
69,45,7,1,53,0,0.0
245,21,49185,789,77,948,956.861
190,12,220476,9882,-14,3953,4030.186
236,13,262099,1812,33,5132,5052.005
95,51,2407,395,4,52,39.431
96,1,1841,208,-1,31,43.106
194,21,19389,268,122,625,634.901
95,1,1633,98,4,26,33.668
293,51,167754,926,41,3485,3501.255
205,37,107432,1945,44,1726,1776.83
85,21,198,35,69,5,3.553
265,1,145780,818,28,2439,2468.147
263,45,137240,922,67,3188,2971.689
171,1,29017,803,72,823,825.149
98,21,1149,141,55,65,60.74
218,47,114098,1657,101,1144,1150.907
240,12,605342,3229,-23,10868,10781.142
179,12,130092,9518,-13,3390,3377.01
274,21,68840,984,68,1174,1184.674
314,37,294860,1521,27,4615,4614.975
198,12,311640,13764,-15,4677,4587.432
311,47,273144,1373,38,3541,3590.278
298,37,258292,2584,100,4144,4058.817
255,1,136703,1138,38,2333,2330.576
220,21,33796,542,159,764,758.646
127,13,28998,802,17,1327,1172.909
121,13,25241,537,-15,1111,1027.998
276,47,198403,971,62,2515,2555.601
99,13,10080,1130,-6,371,299.57
318,1,213617,2980,11,3231,3247.558
328,47,344550,4074,18,4301,4347.873
239,47,147353,1936,69,1648,1702.127
82,37,255,71,-7,0,2.853
240,28,81294,599,8,2413,2407.935
248,21,51677,792,133,987,986.439
163,51,53211,564,50,1534,1512.303
243,12,614753,2547,-34,11119,11134.615
197,1,59113,1805,42,1211,1187.437
151,47,22720,484,133,366,364.846
289,45,161106,1297,25,3607,3559.885
304,28,120160,824,0,3334,3339.491
83,1,196,39,-11,0,3.666
100,1,2838,339,5,48,61.212
129,28,9378,288,-12,422,403.911
173,13,64673,885,50,2643,2511.259
191,28,34622,1031,38,1215,1189.55
128,37,13397,639,29,507,512.663
135,21,7225,145,90,328,327.077
236,21,43529,463,123,881,879.267
254,37,184179,1307,49,2990,3004.602
295,51,170104,1332,56,3524,3518.346
138,45,8816,155,51,385,382.916
220,51,99189,1307,76,2322,2227.651
284,47,212649,1646,29,2758,2912.387
317,12,851825,5504,-40,17372,17321.691
131,47,15060,217,50,243,269.97
187,47,51431,1291,79,646,710.57
161,12,64448,1070,-20,2765,2683.253
157,21,10977,272,105,466,469.406
94,13,5931,488,4,198,120.556
309,28,123887,1612,5,3405,3346.567
235,1,114532,900,53,2011,2132.137
244,45,118992,668,26,2720,2681.74
173,21,13750,120,89,526,534.083
149,21,9184,107,74,409,404.219
308,47,266357,1770,44,3454,3488.118
291,37,243725,2102,97,3929,3875.606
67,45,2,2,53,0,0.0
306,13,390428,1435,24,7981,7991.005
111,45,4439,62,-25,124,139.814
288,45,159809,926,27,3593,3552.152
306,47,261426,754,38,3353,3409.16
201,13,145038,3193,51,3173,3107.596
282,21,77455,868,77,1234,1273.562
270,21,66036,970,175,1154,1155.165
268,13,327158,1608,-24,6822,6784.2
104,21,2048,85,-16,104,93.894
251,37,181070,1039,134,2897,2841.053
176,13,69639,1835,25,2698,2661.74
326,28,143180,779,19,3676,3581.887
302,51,178183,1429,40,3636,3607.396
112,1,5668,244,18,180,178.467
102,47,4863,0,11,100,98.205
300,21,97866,924,12,1410,1734.144
190,21,17919,400,97,608,619.171
314,51,194913,1435,29,3726,3735.94
168,47,31830,670,108,493,519.972
297,28,115088,1212,6,3255,3240.334
303,45,174591,1100,-1,3889,3863.448
90,28,937,90,4,20,18.383
242,51,119747,938,46,2569,2603.893
317,28,131970,1305,9,3519,3426.626
154,28,16322,301,43,782,738.092
103,28,2942,300,-50,98,82.826
278,37,217496,610,35,3634,3574.516
334,51,237836,1893,19,4062,3962.008
152,21,9704,0,153,431,428.223
188,13,97534,1642,20,2878,2682.677
234,51,112072,1212,74,2443,2372.33
110,1,4946,223,-44,165,148.122
174,28,22287,1646,17,978,918.762
325,1,228373,2463,7,3451,3431.905
268,1,148206,1053,-14,2480,2495.477
218,51,95867,818,79,2299,2257.372
293,13,364909,1134,35,7657,7552.85
109,21,2707,185,67,144,144.356
278,12,707751,1813,-44,14671,14655.008
210,1,82530,1260,24,1493,1729.671
118,21,4146,72,55,213,212.811
311,51,190874,2103,41,3704,3679.722
90,45,925,151,-1,18,13.473
83,47,615,110,-16,2,8.076
189,47,53514,1359,103,665,709.763
266,21,62731,814,79,1119,1122.045
320,21,137586,1449,16,1661,1784.115
274,45,147942,308,23,3378,3351.816
223,51,101746,996,69,2344,2240.512
246,37,173509,1216,45,2779,2791.92
265,12,677362,1671,-32,13317,13317.165
287,12,729591,2657,-21,15531,15506.157
142,51,34950,813,14,1136,1174.052
90,13,3224,389,2,103,55.018
145,51,37727,1483,62,1208,1174.14
277,12,705938,2726,-33,14628,14566.798
86,45,456,32,-5,9,8.199
101,37,3908,257,12,74,75.213
253,12,644781,2006,-29,12115,12164.114
175,37,54470,854,77,1251,1232.617
78,47,98,25,21,0,1.087
205,12,385091,10171,-31,5518,5621.573
109,47,6763,433,2,145,169.571
252,12,642775,1797,-30,11915,11792.385
88,13,2592,225,14,79,47.364
190,45,48909,1557,36,884,1091.724
228,45,105882,1041,50,2260,2139.054
330,21,166139,3301,1,1835,1916.852
75,37,32,9,-3,0,0.536
330,12,946956,8126,-20,18254,18223.748
222,1,101334,981,49,1768,1889.938
180,1,36350,1245,58,924,934.482
101,47,4863,228,-5,98,97.447
153,12,55415,651,-24,2460,2477.231
274,28,98886,696,20,2979,2989.314
214,51,91782,981,93,2218,2183.833
74,1,1,0,55,0,0.144
102,51,5077,568,17,130,117.686
149,1,16729,467,31,594,643.935
154,21,10185,139,95,442,443.837
257,47,171824,933,49,2078,2230.12
125,51,19492,0,39,684,646.051
242,12,612206,3132,-22,11105,11017.405
248,47,160597,1051,83,1837,1847.895
302,21,101494,1857,31,1442,1574.945
246,21,49991,806,64,966,981.661
103,13,12203,157,-57,447,359.794
267,28,95310,737,0,2874,2895.586
320,13,424989,2084,13,8957,8946.806
321,51,206763,2125,13,3835,3836.26
122,13,26176,935,45,1167,1038.94
160,51,51738,487,70,1496,1458.238
288,37,236407,1926,49,3856,3843.599
92,13,4806,570,-5,154,86.736
262,45,136318,872,23,3177,3058.976
226,37,142636,1978,41,2287,2279.789
178,21,14859,242,141,553,550.968
206,21,25931,784,135,691,696.848
95,13,6353,422,-18,208,124.405
164,28,19348,865,50,889,815.453
188,51,66740,638,75,1881,1874.952
238,21,44568,669,80,895,896.371
228,37,145508,1662,41,2343,2337.899
113,28,5153,437,-5,201,182.315
260,13,313535,2669,-8,6419,6346.58
248,13,290938,2298,56,5931,5919.21
122,12,34728,1038,-27,1314,1358.996
300,13,377553,1346,25,7827,7792.625
139,45,8942,126,15,391,392.376
64,12,2,0,14,0,0.082
284,21,79445,989,111,1249,1263.434
195,37,87756,1846,77,1510,1641.6
300,51,175409,1134,24,3600,3630.624
134,13,33331,558,32,1505,1441.682
324,37,325158,4296,2,4936,4958.459
191,12,229367,8891,-12,4009,4084.6
192,21,18670,425,127,620,629.247
297,47,241513,3606,64,3076,3123.786
213,13,190734,4308,63,3752,3703.203
221,45,99460,1241,80,2007,1812.107
190,1,46991,1170,40,1057,1092.314
121,1,7306,201,15,280,262.556
103,12,19337,892,-63,461,591.714
293,1,173485,859,18,2789,2788.335
155,45,12651,236,49,518,534.687
87,37,764,128,38,3,6.721
249,37,178932,1586,121,2889,2824.468
250,37,180031,1099,105,2890,2825.817
235,51,112072,0,88,2443,2432.818
223,21,35254,272,65,775,808.871
218,45,95472,1282,34,1894,1912.742
211,47,100822,1778,87,1020,1031.707
76,28,12,2,24,0,0.003
129,47,14512,346,-21,241,275.861
143,13,39387,1031,51,1808,1680.992
191,13,107333,2838,21,2930,2935.281
117,12,30680,684,-52,1074,1087.803
264,1,144962,798,46,2437,2458.774
71,51,15,7,40,0,0.034
252,13,297429,1744,28,6070,6035.665
321,28,135803,905,-1,3581,3505.081
261,12,666507,3273,-24,13086,13065.883
173,51,58465,471,104,1620,1619.096
212,47,102871,2049,62,1033,1113.802
289,37,238939,2532,52,3874,3958.97
226,13,234964,2816,17,4538,4437.25
86,12,2352,491,-34,29,40.083
163,13,54011,1101,44,2375,2402.117
181,47,42297,2125,65,592,630.321
295,21,90996,1452,75,1363,1404.872
128,47,14166,228,35,237,264.089
270,13,330612,1442,58,6914,6914.544
234,47,140844,1669,47,1549,1759.858
87,13,2367,524,33,65,40.476
257,12,656485,2395,-42,12608,12642.647
279,1,159713,544,21,2559,2566.721
197,37,91563,1816,64,1568,1639.136
240,13,272456,2819,20,5393,5329.84
83,37,297,42,-17,0,4.652
316,28,130665,1271,6,3514,3446.338
221,21,34758,962,236,772,783.715
249,51,126926,1199,144,2678,2604.487
162,21,11883,175,81,484,490.233
253,13,299621,2192,37,6128,6153.907
149,37,25413,784,21,827,867.626
311,28,125885,1031,0,3433,3424.326
166,21,12445,0,141,499,503.048
157,51,49397,865,50,1460,1423.794
107,47,6262,426,1,141,152.964
216,51,94251,1145,27,2244,2080.522
301,12,776215,4226,-23,16505,16511.211
286,28,105941,1009,18,3115,3104.629
309,47,269802,3445,35,3478,3545.701
148,28,14372,328,22,692,647.497
285,45,157406,785,3,3552,3514.431
206,1,76136,1792,37,1439,1467.581
284,45,156621,945,31,3551,3525.938
319,28,134309,969,23,3543,3323.53
202,12,355899,10287,-20,5072,5097.022
320,37,312235,3117,13,4806,4787.964
324,28,140429,1638,2,3642,3450.963
184,28,28770,0,41,1092,1081.066
250,45,124952,663,96,2887,2752.468
248,28,85939,823,30,2558,2527.956
68,45,6,4,38,0,0.0
164,45,17170,729,44,593,625.208
146,13,41622,532,67,1830,1744.258
155,21,10410,225,98,450,446.488
97,37,2870,285,22,33,52.609
199,47,73819,2279,89,815,830.527
78,37,62,22,28,0,0.529
84,1,242,46,4,0,3.444
121,28,7212,643,15,282,268.452
152,37,28590,916,75,886,877.688
237,37,158678,1389,48,2535,2523.31
212,13,186426,4183,18,3671,3683.333
105,12,20984,590,-52,571,619.124
161,51,52177,439,85,1514,1478.983
318,12,858585,6760,-24,17445,17482.303
247,51,124779,1111,59,2662,2656.255
230,1,109004,571,30,1925,1953.918
98,37,3221,351,24,46,63.319
123,28,7441,229,28,291,286.105
120,28,6569,0,-7,250,231.673
121,47,10735,603,0,199,246.916
135,13,33657,326,21,1527,1467.36
330,51,228901,2600,25,4029,4015.571
91,1,999,52,-23,13,19.974
302,1,187706,1269,-15,2911,2907.294
273,1,153554,571,9,2517,2514.386
282,47,209447,1992,69,2705,2698.394
88,21,394,92,100,9,9.344
202,45,71445,1459,47,1164,1252.789
104,28,3087,145,-14,111,90.153
287,28,106817,876,27,3140,3118.922
193,21,19121,451,211,622,633.491
289,13,358533,1864,22,7492,7475.289
233,13,254163,2939,-2,4904,4767.355
120,1,7105,158,-11,260,240.402
172,45,23786,1155,104,644,668.465
238,12,599176,2665,-26,10580,10463.202
96,12,11961,788,-70,221,275.259
282,45,154755,1050,36,3514,3478.059
104,13,13289,1086,-6,481,455.597
267,1,147153,569,14,2488,2476.836
248,1,130393,1108,40,2266,2264.827
239,37,161466,1342,50,2606,2569.659
327,45,206295,1277,6,4283,4272.065
315,21,124646,2079,37,1590,1663.158
248,51,125727,948,85,2677,2696.092
90,1,947,117,10,6,14.361
126,28,8422,215,15,374,340.471
231,21,40299,608,65,830,847.347
273,28,98190,1141,24,2969,2919.653
185,12,175718,9415,-6,3684,3525.333
184,51,63735,532,112,1816,1792.212
171,21,13454,257,147,522,535.659
218,1,94819,972,51,1698,1831.439
169,47,32143,313,98,497,522.804
131,45,7653,122,26,331,327.759
314,13,406904,1648,12,8223,8270.919
234,37,154018,2075,46,2494,2475.426
265,28,94021,465,20,2846,2825.858
333,37,357958,3444,41,5219,5226.307
218,12,497181,5408,-21,7627,7548.673
237,13,264540,2441,7,5156,5108.391
88,45,660,121,12,15,8.415
148,45,10623,207,-4,466,475.586
182,45,36399,1755,48,739,838.866
327,1,232506,1798,15,3457,3466.077
289,28,109255,1116,16,3160,3149.839
139,21,7935,247,3,346,353.989
242,21,47577,820,135,921,932.99
163,37,39483,1310,46,1064,1068.427
282,51,156649,1114,62,3344,3334.312
100,12,16323,1089,-46,371,420.286
237,51,114636,1006,56,2495,2458.014
170,45,21548,992,63,621,658.538
332,1,242874,917,12,3572,3606.375
100,13,10693,613,-10,413,365.565
103,1,3583,321,-50,61,70.086
140,28,11967,263,34,570,523.737
197,13,129193,4102,38,3091,3033.85
