days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
228,37,1662,30,-16,-3,41,-20,-15,4,2343,2206.191,5.839052497,94.1609475,2206,5.847204439,94.15279556
113,28,437,18,-18,-2,-5,-21,-38,14,201,206.29,2.631840796,97.3681592,206,2.487562189,97.51243781
260,13,2669,21,-16,-12,-8,-36,-33,10,6419,7135.252,11.15831126,88.84168874,7135,11.15438542,88.84561458
248,13,2298,63,-11,-4,56,-23,-35,7,5931,5795.425,2.285870848,97.71412915,5795,2.293036587,97.70696341
122,12,1038,46,-36,-13,-27,-51,-43,18,1314,1231.195,6.301750381,93.69824962,1231,6.316590563,93.68340944
300,13,1346,18,-15,-6,25,-30,-28,7,7827,7842.389,0.196614284,99.80338572,7842,0.191644308,99.80835569
139,45,126,6,-10,-1,15,-14,-30,11,391,419.061,7.176726343,92.82327366,419,7.16112532,92.83887468
284,21,989,7,-12,2,111,6,-9,2,1249,1249.05,0.004003203,99.9959968,1249,0,100
195,37,1846,7,-9,2,77,-23,-35,9,1510,1558.585,3.217549669,96.78245033,1559,3.245033113,96.75496689
300,51,1134,19,-16,-6,24,-34,-32,11,3600,3591.42,0.238333333,99.76166667,3591,0.25,99.75
134,13,558,41,-16,-2,32,-39,-40,14,1505,1484.291,1.376013289,98.62398671,1484,1.395348837,98.60465116
324,37,4296,38,-15,-2,2,-31,-28,9,4936,5254.543,6.453464344,93.54653566,5255,6.462722853,93.53727715
191,12,8891,56,-22,-10,-12,-39,-36,12,4009,3888.275,3.011349464,96.98865054,3888,3.01820903,96.98179097
192,21,425,8,-10,5,127,-4,-33,8,620,629.524,1.536129032,98.46387097,630,1.612903226,98.38709677
297,47,3606,65,-10,-5,64,-9,-24,5,3076,3245.972,5.525747724,94.47425228,3246,5.526657997,94.473342
213,13,4308,81,-11,-3,63,-30,-37,9,3752,3756.678,0.124680171,99.87531983,3757,0.13326226,99.86673774
221,45,1241,45,-10,3,80,7,-11,2,2007,1618.027,19.38081714,80.61918286,1618,19.38216243,80.61783757
190,1,1170,25,-3,3,40,1,-31,8,1057,1084.606,2.611731315,97.38826868,1085,2.649006623,97.35099338
121,1,201,20,-18,3,15,-18,-37,14,280,310.65,10.94642857,89.05357143,311,11.07142857,88.92857143
103,12,892,15,-66,-49,-63,-69,-50,15,461,336.812,26.93882863,73.06117137,337,26.89804772,73.10195228
293,1,859,1,-12,-4,18,-8,-22,5,2789,2799.55,0.378271782,99.62172822,2800,0.394406597,99.6055934
155,45,236,17,2,8,49,3,-28,8,518,549.782,6.135521236,93.86447876,550,6.177606178,93.82239382
87,37,128,1,-35,-6,38,-45,-39,16,3,6.653,121.7666667,-21.76666667,7,133.3333333,-33.33333333
249,37,1586,50,-12,2,121,-14,-16,1,2889,2813.315,2.619764624,97.38023538,2813,2.630668051,97.36933195
250,37,1099,1,-9,1,105,-23,-19,1,2890,2747.933,4.915813149,95.08418685,2748,4.91349481,95.08650519
235,51,0,0,-18,-1,88,-18,-13,3,2443,2115.217,13.41723291,86.58276709,2115,13.42611543,86.57388457
223,21,272,2,-9,0,65,-9,-32,9,775,1058.528,36.58425806,63.41574194,1059,36.64516129,63.35483871
218,45,1282,47,-7,-2,34,-4,-32,8,1894,1879.196,0.781626188,99.21837381,1879,0.791974657,99.20802534
211,47,1778,21,-4,2,87,-13,-32,8,1020,1421.898,39.40176471,60.59823529,1422,39.41176471,60.58823529
129,47,346,4,-21,-1,-21,-26,-37,15,241,338.751,40.56058091,59.43941909,339,40.66390041,59.33609959
143,13,1031,50,-16,-1,51,-33,-38,13,1808,1812.043,0.223617257,99.77638274,1812,0.221238938,99.77876106
191,13,2838,8,-10,-1,21,-32,-38,12,2930,2978.372,1.650921502,98.3490785,2978,1.638225256,98.36177474
117,12,684,19,-47,-23,-52,-63,-40,12,1074,985.693,8.222253259,91.77774674,986,8.193668529,91.80633147
264,1,798,0,-11,-2,46,-2,-16,2,2437,2436.793,0.00849405,99.99150595,2437,0,100
252,13,1744,26,-14,-4,28,-29,-35,9,6070,6003.433,1.096655684,98.90334432,6003,1.103789127,98.89621087
321,28,905,36,-11,-7,-1,3,-18,4,3581,3596.838,0.442278693,99.55772131,3597,0.446802569,99.55319743
261,12,3273,147,-24,-16,-24,-39,-33,9,13086,12855.504,1.761393856,98.23860614,12856,1.757603546,98.24239645
173,51,471,9,-16,1,104,-22,-14,3,1620,1524.477,5.896481481,94.10351852,1524,5.925925926,94.07407407
212,47,2049,13,-6,0,62,-12,-33,8,1033,1245.353,20.55692159,79.44307841,1245,20.52274927,79.47725073
289,37,2532,18,-11,-1,52,-20,-29,7,3874,3941.954,1.754104285,98.24589572,3942,1.755291688,98.24470831
226,13,2816,82,-12,-4,17,-30,-37,10,4538,4560.993,0.50667695,99.49332305,4561,0.506831203,99.4931688
86,12,491,6,-40,-14,-34,-51,-42,18,29,40.988,41.33793103,58.66206897,41,41.37931034,58.62068966
163,13,1101,46,-9,2,44,-35,-35,11,2375,2282.29,3.903578947,96.09642105,2282,3.915789474,96.08421053
181,47,2125,8,-3,-1,65,-11,-31,9,592,780.825,31.89611486,68.10388514,781,31.92567568,68.07432432
295,21,1452,21,-11,0,75,-3,-25,6,1363,1368.27,0.386647102,99.6133529,1368,0.366837858,99.63316214
128,47,228,-2,-12,6,35,-20,-35,11,237,262.519,10.76751055,89.23248945,263,10.97046414,89.02953586
270,13,1442,40,-13,-6,58,-25,-11,2,6914,6765.329,2.150289268,97.84971073,6765,2.155047729,97.84495227
234,47,1669,61,-12,-6,47,-14,-30,8,1549,1882.657,21.54015494,78.45984506,1883,21.56229826,78.43770174
87,13,524,5,-35,-9,33,-45,-42,18,65,35.037,46.09692308,53.90307692,35,46.15384615,53.84615385
257,12,2395,8,-27,-18,-42,-46,-23,6,12608,12131.728,3.777538071,96.22246193,12132,3.775380711,96.22461929
279,1,544,1,-7,-2,21,-6,-24,4,2559,2559.543,0.021219226,99.97878077,2560,0.039077765,99.96092224
197,37,1816,16,-9,1,64,-25,-35,9,1568,1687.906,7.647066327,92.35293367,1688,7.653061224,92.34693878
240,13,2819,82,-15,-7,20,-33,-33,10,5393,5376.803,0.300333766,99.69966623,5377,0.296680883,99.70331912
316,28,1271,17,-7,-5,6,5,-24,6,3514,3521.342,0.208935686,99.79106431,3521,0.199203187,99.80079681
221,21,962,8,-9,10,236,12,-8,0,772,1059.587,37.25220207,62.74779793,1060,37.30569948,62.69430052
249,51,1199,1,-14,3,144,-16,-16,1,2678,2352.392,12.15862584,87.84137416,2352,12.17326363,87.82673637
162,21,175,7,-4,11,81,-9,-32,9,484,494.045,2.075413223,97.92458678,494,2.066115702,97.9338843
253,13,2192,58,-14,-7,37,-31,-34,8,6128,6182.022,0.881560052,99.11843995,6182,0.881201044,99.11879896
149,37,784,33,-15,0,21,-30,-34,13,827,1000.111,20.93240629,79.06759371,1000,20.91898428,79.08101572
311,28,1031,14,-13,-12,0,1,-18,4,3433,3459.3,0.766093796,99.2339062,3459,0.757355083,99.24264492
166,21,0,0,-8,7,141,-1,-13,1,499,557.317,11.68677355,88.31322645,557,11.62324649,88.37675351
157,51,865,7,-22,-3,50,-35,-40,15,1460,1440.693,1.32239726,98.67760274,1441,1.301369863,98.69863014
107,47,426,7,-25,-3,1,-31,-42,15,141,173.506,23.05390071,76.94609929,174,23.40425532,76.59574468
216,51,1145,26,-12,0,27,-36,-40,13,2244,2179.363,2.88043672,97.11956328,2179,2.896613191,97.10338681
301,12,4226,56,-21,-12,-23,-36,-29,8,16505,16473.283,0.19216601,99.80783399,16473,0.193880642,99.80611936
286,28,1009,14,-10,-8,18,4,-27,6,3115,3102.131,0.413130016,99.58686998,3102,0.417335474,99.58266453
309,47,3445,24,-12,-4,35,-18,-23,7,3478,3673.555,5.622627947,94.37737205,3674,5.635422657,94.36457734
148,28,328,21,1,5,22,-2,-28,9,692,662.28,4.294797688,95.70520231,662,4.335260116,95.66473988
285,45,785,1,-11,-5,3,6,-16,4,3552,3540.94,0.311373874,99.68862613,3541,0.309684685,99.69031532
206,1,1792,40,-11,-3,37,0,-30,10,1439,1382.378,3.934815844,96.06518416,1382,3.961084086,96.03891591
284,45,945,21,-12,-3,31,-5,-10,3,3551,3565.843,0.417994931,99.58200507,3566,0.422416221,99.57758378
319,28,969,3,-10,-6,23,6,-11,2,3543,3544.831,0.051679368,99.94832063,3545,0.056449337,99.94355066
202,12,10287,90,-23,-14,-20,-42,-37,11,5072,5093.077,0.415555994,99.58444401,5093,0.414037855,99.58596215
320,37,3117,50,-14,-4,13,-28,-14,3,4806,4794.211,0.245297545,99.75470246,4794,0.24968789,99.75031211
324,28,1638,23,-11,-5,2,4,-19,5,3642,3629.014,0.356562328,99.64343767,3629,0.356946733,99.64305327
184,28,0,0,10,13,41,10,-31,7,1092,1073.685,1.677197802,98.3228022,1074,1.648351648,98.35164835
250,45,663,10,0,5,96,3,-20,1,2887,2793.358,3.243574645,96.75642536,2793,3.255975061,96.74402494
248,28,823,22,-8,-3,30,13,-26,4,2558,2579.821,0.853049257,99.14695074,2580,0.860046912,99.13995309
164,45,729,5,-6,5,44,4,-29,8,593,610.649,2.976222597,97.0237774,611,3.035413153,96.96458685
146,13,532,3,-23,-4,67,-51,-70,20,1830,1758.226,3.922076503,96.0779235,1758,3.93442623,96.06557377
155,21,225,8,-3,16,98,-10,-32,9,450,468.432,4.096,95.904,468,4,96
97,37,285,2,-36,-10,22,-46,-44,16,33,49.496,49.98787879,50.01212121,49,48.48484848,51.51515152
199,47,2279,19,-9,1,89,-9,-32,8,815,894.578,9.764171779,90.23582822,895,9.81595092,90.18404908
121,28,643,32,-10,6,15,-14,-35,12,282,397.689,41.02446809,58.97553191,398,41.13475177,58.86524823
152,37,916,9,-15,1,75,-25,-15,4,886,1024.449,15.62629797,84.37370203,1024,15.57562077,84.42437923
237,37,1389,4,-15,-3,48,-26,-33,8,2535,2554.472,0.768126233,99.23187377,2554,0.749506903,99.2504931
212,13,4183,29,-11,-3,18,-33,-38,11,3671,3537.824,3.627785345,96.37221466,3538,3.622991011,96.37700899
105,12,590,72,-46,-23,-52,-56,-48,20,571,518.841,9.134676007,90.86532399,519,9.106830123,90.89316988
161,51,439,18,-15,1,85,-33,-39,13,1514,1483.118,2.039762219,97.96023778,1483,2.047556143,97.95244386
318,12,6760,73,-21,-12,-24,-37,-27,8,17445,17515.498,0.404115792,99.59588421,17515,0.401261106,99.59873889
247,51,1111,10,-11,0,59,-29,-39,10,2662,2665.215,0.120773854,99.87922615,2665,0.11269722,99.88730278
230,1,571,27,-9,-2,30,-3,-29,6,1925,1937.742,0.661922078,99.33807792,1938,0.675324675,99.32467532
98,37,351,13,-36,-9,24,-44,-45,18,46,73.621,60.04565217,39.95434783,74,60.86956522,39.13043478
123,28,229,10,-16,8,28,-15,-22,6,291,289.862,0.391065292,99.60893471,290,0.343642612,99.65635739
120,28,0,0,-11,2,-7,-18,-37,14,250,237.355,5.058,94.942,237,5.2,94.8
121,47,603,7,-18,2,0,-25,-39,14,199,222.92,12.0201005,87.9798995,223,12.06030151,87.93969849
135,13,326,22,-17,-2,21,-40,-40,15,1527,1333.393,12.6789129,87.3210871,1333,12.70464964,87.29535036
330,51,2600,21,2,28,25,-26,-43,11,4029,4066.608,0.933432614,99.06656739,4067,0.943162075,99.05683793
91,1,52,7,-36,-11,-23,-26,-40,17,13,22.919,76.3,23.7,23,76.92307692,23.07692308
302,1,1269,19,-13,-3,-15,-14,-24,7,2911,3570.788,22.66533837,77.33466163,3571,22.67262109,77.32737891
273,1,571,16,-11,-7,9,-10,-22,6,2517,2508.248,0.347715534,99.65228447,2508,0.357568534,99.64243147
282,47,1992,63,-8,-2,69,-9,-27,5,2705,2718.988,0.517116451,99.48288355,2719,0.517560074,99.48243993
88,21,92,1,-38,-6,100,-28,-29,9,9,5.957,33.81111111,66.18888889,6,33.33333333,66.66666667
202,45,1459,9,-7,1,47,-6,-31,8,1164,1139.676,2.089690722,97.91030928,1140,2.06185567,97.93814433
104,28,145,13,-27,-9,-14,-28,-40,14,111,97.62,12.05405405,87.94594595,98,11.71171171,88.28828829
287,28,876,25,-8,-3,27,6,-20,4,3140,3140.771,0.02455414,99.97544586,3141,0.031847134,99.96815287
193,21,451,2,-12,9,211,11,-9,1,622,676.638,8.784244373,91.21575563,677,8.84244373,91.15755627
289,13,1864,22,-11,-4,22,-29,-30,8,7492,7480.719,0.150573946,99.84942605,7481,0.146823278,99.85317672
233,13,2939,55,-16,-8,-2,-33,-35,11,4904,5765.706,17.57149266,82.42850734,5766,17.57748777,82.42251223
120,1,158,17,-22,-4,-11,-24,-39,16,260,242.352,6.787692308,93.21230769,242,6.923076923,93.07692308
172,45,1155,5,-4,15,104,17,-8,1,644,662.286,2.839440994,97.16055901,662,2.795031056,97.20496894
238,12,2665,183,-25,-15,-26,-42,-35,10,10580,10379.563,1.894489603,98.1055104,10380,1.890359168,98.10964083
96,12,788,26,-57,-33,-70,-70,-45,15,221,233.196,5.518552036,94.48144796,233,5.429864253,94.57013575
282,45,1050,12,-7,-3,36,0,-24,6,3514,3516.293,0.065253273,99.93474673,3516,0.056915196,99.9430848
104,13,1086,34,-38,-16,-6,-52,-48,18,481,397.005,17.46257796,82.53742204,397,17.46361746,82.53638254
267,1,569,31,-8,-5,14,-7,-24,6,2488,2465.772,0.89340836,99.10659164,2466,0.884244373,99.11575563
248,1,1108,33,-5,1,40,7,-29,5,2266,2245.258,0.915357458,99.08464254,2245,0.92674316,99.07325684
239,37,1342,36,-13,-3,50,-27,-32,8,2606,2584.482,0.8257099,99.1742901,2584,0.844205679,99.15579432
327,45,1277,9,-8,0,6,4,-11,3,4283,4246.62,0.849404623,99.15059538,4247,0.840532337,99.15946766
315,21,2079,14,-13,-1,37,-7,-26,7,1590,1594.213,0.264968553,99.73503145,1594,0.251572327,99.74842767
248,51,948,15,-12,1,85,-26,-40,10,2677,2654.776,0.830183041,99.16981696,2655,0.821815465,99.17818453
90,1,117,2,-33,-10,10,-25,-38,14,6,10.862,81.03333333,18.96666667,11,83.33333333,16.66666667
126,28,215,32,-5,11,15,-10,-33,11,374,379.253,1.404545455,98.59545455,379,1.336898396,98.6631016
231,21,608,12,-11,1,65,-11,-30,7,830,1035.798,24.79493976,75.20506024,1036,24.81927711,75.18072289
273,28,1141,48,-8,-4,24,3,-18,4,2969,2926.955,1.416133378,98.58386662,2927,1.414617716,98.58538228
185,12,9415,67,-19,0,-6,-42,-53,16,3684,4222.872,14.62736156,85.37263844,4223,14.63083605,85.36916395
184,51,532,30,-2,12,112,-23,-41,10,1816,1621.037,10.73584802,89.26415198,1621,10.73788546,89.26211454
171,21,257,2,-8,9,147,-5,-33,6,522,523.944,0.372413793,99.62758621,524,0.383141762,99.61685824
218,1,972,30,-2,4,51,0,-30,7,1698,1685.396,0.742285041,99.25771496,1685,0.765606596,99.2343934
169,47,313,4,1,8,98,-12,-29,7,497,506.473,1.906036217,98.09396378,506,1.810865191,98.18913481
131,45,122,1,-17,11,26,-14,-26,4,331,329.451,0.467975831,99.53202417,329,0.604229607,99.39577039
314,13,1648,29,-15,-7,12,-32,-27,8,8223,8164.136,0.715845798,99.2841542,8164,0.717499696,99.2825003
234,37,2075,29,-15,-4,46,-26,-33,9,2494,2471.788,0.890617482,99.10938252,2472,0.882117081,99.11788292
265,28,465,36,-7,-7,20,2,-21,4,2846,2824.366,0.760154603,99.2398454,2824,0.773014758,99.22698524
333,37,3444,9,-20,-12,41,-24,-17,4,5219,6712.218,28.61118988,71.38881012,6712,28.60701284,71.39298716
218,12,5408,225,-23,-16,-21,-42,-37,11,7627,7588.27,0.507801232,99.49219877,7588,0.511341288,99.48865871
237,13,2441,24,-18,-9,7,-35,-34,10,5156,5236.251,1.556458495,98.44354151,5236,1.55159038,98.44840962
88,45,121,2,-35,-4,12,-32,-25,9,15,7.384,50.77333333,49.22666667,7,53.33333333,46.66666667
148,45,207,20,-11,-3,-4,-6,-31,12,466,644.727,38.35343348,61.64656652,645,38.41201717,61.58798283
182,45,1755,19,0,6,48,1,-30,9,739,804.597,8.876454668,91.12354533,805,8.930987821,91.06901218
327,1,1798,0,-12,0,15,-1,-12,3,3457,3410.726,1.338559445,98.66144056,3411,1.330633497,98.6693665
289,28,1116,8,-9,-5,16,8,-18,4,3160,3152.175,0.247626582,99.75237342,3152,0.253164557,99.74683544
139,21,247,12,-22,-3,3,-25,-36,14,346,772.62,123.300578,-23.30057803,773,123.4104046,-23.41040462
242,21,820,3,-12,3,135,-2,-9,2,921,940.21,2.08577633,97.91422367,940,2.062975027,97.93702497
163,37,1310,11,-11,2,46,-27,-33,11,1064,1193.008,12.12481203,87.87518797,1193,12.12406015,87.87593985
282,51,1114,16,-15,-3,62,-30,-35,10,3344,3348.713,0.140938995,99.859061,3349,0.149521531,99.85047847
100,12,1089,48,-46,-21,-46,-58,-50,21,371,358.284,3.427493261,96.57250674,358,3.504043127,96.49595687
237,51,1006,24,-15,-6,56,-35,-38,11,2495,2564.772,2.796472946,97.20352705,2565,2.805611222,97.19438878
170,45,992,4,-2,5,63,4,-28,8,621,653.785,5.279388084,94.72061192,654,5.314009662,94.68599034
332,1,917,0,-21,-16,12,-30,-59,17,3572,9685.165,171.1412374,-71.1412374,9685,171.1366181,-71.13661814
100,13,613,42,-37,-10,-10,-51,-51,21,413,286.117,30.72227603,69.27772397,286,30.75060533,69.24939467
103,1,321,1,-64,-47,-50,-51,-45,13,61,102.278,67.66885246,32.33114754,102,67.21311475,32.78688525
140,28,263,15,0,7,34,-5,-28,9,570,555.595,2.527192982,97.47280702,556,2.456140351,97.54385965
197,13,4102,37,-8,-1,38,-31,-38,11,3091,3166.509,2.442866386,97.55713361,3167,2.458751213,97.54124879
